City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,terrace,54.5163,-128.6035,36.43,93,100,10.36,CA,1643592028
322,markova,48.6758,24.4138,31.41,80,94,18.97,UA,1643592307
323,launceston,-41.45,147.1667,80.62,57,14,3.0,AU,1643592307
324,tarko-sale,64.9225,77.785,1.45,95,100,9.53,RU,1643592307
325,grand baie,-20.0182,57.5802,79.27,84,78,4.0,MU,1643592308
326,phalombe,-15.8064,35.6507,64.83,96,6,1.9,MW,1643592104
327,tatawin,32.9297,10.4518,49.08,40,0,13.42,TN,1643592309
328,vila velha,-20.3297,-40.2925,80.55,87,20,4.61,BR,1643592310
329,bhera,32.4832,72.9097,49.39,43,0,4.05,PK,1643592310
330,ulladulla,-35.35,150.4667,85.77,63,37,9.04,AU,1643592311
331,mandera,3.9366,41.867,76.37,28,100,7.16,KE,1643592311
332,tezu,27.9167,96.1667,51.64,52,3,3.42,IN,1643592312
333,chivilcoy,-34.8957,-60.0167,77.02,10,10,3.0,AR,1643592126
334,kloulklubed,7.0419,134.2556,82.9,71,100,14.9,PW,1643592313
335,selikhino,50.3672,137.4996,-8.5,94,100,7.76,RU,1643592314
336,port moresby,-9.4431,147.1797,81.82,78,75,11.5,PG,1643592134
337,neuquen,-38.9516,-68.0591,71.49,26,0,11.5,AR,1643592314
338,lahan,26.7296,86.4951,53.38,61,0,2.98,NP,1643592315
339,la libertad,-2.2333,-80.9,74.64,80,100,3.09,EC,1643592316
340,taree,-31.9,152.4667,88.07,69,75,5.75,AU,1643592317
341,davila,18.4726,120.5763,76.98,76,58,23.35,PH,1643592317
342,port hueneme,34.1478,-119.1951,67.64,58,0,6.91,US,1643592318
343,mastic,40.802,-72.8409,23.94,66,95,3.0,US,1643592318
344,lodja,-3.4833,23.4333,73.06,83,100,1.81,CD,1643592319
345,salym,60.0625,71.4789,4.75,96,100,5.26,RU,1643592319
346,camacha,33.0833,-16.3333,61.56,82,20,19.57,PT,1643592320
347,chistogorskiy,53.9835,87.3843,-3.73,100,67,2.15,RU,1643592320
348,imbituba,-28.24,-48.6703,74.82,77,15,5.53,BR,1643592074
349,lata,40.1629,-8.3327,41.41,56,84,3.18,PT,1643592193
